k, N1, N2, N3
0,600,500,410
1,605.33,465.33,380.67
2,600.62,441.6,362.62
3,586.93,426.6,351.92
4,564.5,418.32,346.51
5,537.72,413.73,343.59
6,520.3,407.28,338.09
7,507.68,400.63,332.49
8,497.88,394.5,327.46
9,489.97,389.13,323.12
10,483.46,384.52,319.43
11,478.05,380.61,316.32
12,473.53,377.31,313.7
13,469.74,374.53,311.5
14,466.57,372.2,309.65
15,463.9,370.24,308.1
16,461.67,368.59,306.8
17,459.79,367.21,305.71
18,458.22,366.05,304.79
19,456.9,365.08,304.02
20,455.79,364.27,303.38
21,454.86,363.58,302.83
22,454.08,363,302.38
23,453.42,362.52,302
24,452.87,362.12,301.68
25,452.41,361.78,301.41
26,452.02,361.49,301.18
27,451.7,361.25,300.99
28,451.43,361.05,300.83
29,451.2,360.88,300.7
30,451,360.74,300.59
31,450.84,360.62,300.49
32,450.71,360.52,300.41
33,450.59,360.44,300.35
34,450.5,360.37,300.29
35,450.42,360.31,300.24
36,450.35,360.26,300.2
37,450.29,360.22,300.17
38,450.25,360.18,300.14
39,450.21,360.15,300.12
40,450.17,360.13,300.1
41,450.15,360.11,300.09
42,450.12,360.09,300.07
43,450.1,360.08,300.06
44,450.09,360.06,300.05
45,450.07,360.05,300.04
46,450.06,360.04,300.04
47,450.05,360.04,300.03
48,450.04,360.03,300.03
49,450.04,360.03,300.02
50,450.03,360.02,300.02
51,450.03,360.02,300.01
52,450.02,360.02,300.01
53,450.02,360.01,300.01
54,450.02,360.01,300.01
55,450.01,360.01,300.01
56,450.01,360.01,300.01
57,450.01,360.01,300.01
58,450.01,360.01,300
59,450.01,360,300
60,450.01,360,300
61,450,360,300
62,450,360,300
63,450,360,300
64,450,360,300
65,450,360,300
66,450,360,300
67,450,360,300
68,450,360,300
69,450,360,300
70,450,360,300
71,450,360,300
72,450,360,300
73,450,360,300
74,450,360,300
75,450,360,300
76,450,360,300
77,450,360,300
78,450,360,300
79,450,360,300
80,450,360,300
81,450,360,300
82,450,360,300
83,450,360,300
84,450,360,300
85,450,360,300
86,450,360,300
87,450,360,300
88,450,360,300
89,450,360,300
90,450,360,300
91,450,360,300
92,450,360,300
93,450,360,300
94,450,360,300
95,450,360,300
96,450,360,300
97,450,360,300
98,450,360,300
99,450,360,300
100,450,360,300
