k, N1, N2, N3
0,650,400,300
1,568,375.53,328.23
2,463.8,422.59,323.62
3,459.52,433.12,307.8
4,455.61,435.59,325.11
5,483.84,438.87,317.6
6,476.41,442.76,300.33
7,479.42,441.32,329.62
8,459.76,445.21,313.8
9,476.15,442.53,322.15
10,454.58,444.34,317.65
11,487.54,442.04,318.6
12,476.65,444.93,305.52
13,481.21,443.19,321.82
14,446.47,445.22,312.81
15,495.04,440.82,313.13
16,478.74,444.41,320.14
17,450.27,445.3,320.04
18,497.77,442.36,315.61
19,480.65,445.86,321.66
20,450.68,446.47,321.47
21,500.47,443.2,316.47
22,481.93,446.73,323.95
23,453.19,447.39,322.78
24,500.03,444.15,318.51
25,482.13,447.44,321.89
26,494.09,447.47,298.71
27,484.78,445.53,357.91
28,488,400.77,380.43
29,492.79,402.6,383.67
30,492.61,402.67,385.67
31,493.85,403.76,386.47
32,494.42,404.22,387.05
33,494.93,404.98,387.4
34,495.3,404.92,387.69
35,495.51,405.89,387.84
36,495.78,404.89,388.05
37,495.78,407.03,388.02
38,496.11,403.73,388.3
39,495.78,409.52,388
40,496.5,399.83,388.63
41,495.4,416.17,387.64
42,497.3,388.08,389.35
43,494.03,434.1,386.41
44,478.49,421.36,391.17
45,495.85,427.16,389.84
46,470.8,427.62,391.77
47,517.11,424.73,390.19
48,507.78,405.62,393.63
49,509.8,431.24,391.51
50,512.03,389.18,394.34
51,506.68,457.17,389.97
52,493.12,432.86,396.95
53,498,446.41,395.13
54,505.14,441.21,396.71
55,487.76,446.32,397.33
56,525.99,441.49,396.59
57,514.77,401.5,399.33
58,512.42,455.32,393.9
59,488.96,432.84,398.82
60,508.94,441.45,395.47
61,478.22,439.38,397.23
62,531.94,435.66,394.69
63,516.56,412.97,398.35
64,520.24,439.54,395.24
65,521.42,394.88,397.97
66,515.25,466.4,393.1
67,496.31,436.55,400.28
68,503.89,452.31,397.27
69,507.02,445.3,398.94
70,494.61,450.55,398.95
71,523.83,445.9,398.48
72,514.54,393.86,400.47
73,508.27,466.6,393.3
74,504.9,435.92,399.71
75,481.92,454.31,397.78
76,541.99,441.11,397.3
77,522.11,419.41,401.1
78,528.29,441.6,397.75
79,527.68,406.04,400.03
80,523.08,462.94,396.05
81,485.78,437.03,401.74
82,528.63,445.51,396.9
83,514.85,398.35,400.25
84,512.62,461.9,393.85
85,496,435.07,399.72
86,500.26,448.29,396.81
87,506.42,441.75,397.86
88,487.59,446.62,397.98
89,527.54,441.03,396.88
90,515.32,404.42,399.53
91,513.92,452.31,394.43
92,483.65,432.05,398.77
93,517.6,437.63,394.83
94,507.75,393.74,397.29
95,503.94,453.83,391.36
96,494.76,431.06,396.78
97,490.29,443.09,394.98
98,512.14,436.63,395.46
99,507.03,388.78,396.88
100,499.98,457.47,390.45
